run_id,job_id,state,partition,nodes,tasks,walltime_h,a0,target_thickness_um,t_end_fs,notes
pic3d_dd_cd2_microbench300fs_a0_10_t_3um_20260703_r001,1417042,FAILED_PARSE,amd_m9_768,1,256,2,10,3,300,failed before physics because EPOCH3D parser rejected non-ASCII comments in the deck; cost negligible
pic3d_dd_cd2_microbench300fs_a0_10_t_3um_20260703_r002,1417631,OUT_OF_MEMORY,amd_m9_768,1,256,2,10,3,300,reached about 95 fs then OOM-killed during first restart-like output; one node has no memory headroom
pic3d_dd_cd2_microbench100fs_a0_10_t_3um_20260703_r003,1449565,FAILED_PARSE,amd_m9_768,2,512,1.5,10,3,100,two-node microbenchmark failed before physics because comments before begin blocks still triggered EPOCH3D parser issue
pic3d_dd_cd2_microbench100fs_a0_10_t_3um_20260703_r004,1473749,CANCELLED,amd_m9_768,2,512,1.5,10,3,100,cancelled before start after r002 showed bad auto processor topology; cost zero
pic3d_dd_cd2_microbench100fs_a0_10_t_3um_20260703_r005,1475280,CANCELLED,amd_m9_768,2,512,1.5,10,3,100,cancelled before start after user requested to review input and after reduced-grid strategy replaced this heavy run; cost zero
pic3d_dd_cd2_microbench100fs_reduced_a0_10_t_3um_20260703_r006,1476316,CANCELLED,amd_m9_768,1,256,2,10,3,100,reduced-grid/PPC preview run was submitted before user interruption then cancelled before start for input review; cost zero
pic3d_stage1_smoke50fs_2000x250x250_a0_10_t_3um_20260703_r001,1523494,COMPLETED,amd_m9_768,2,512,1,10,3,50,completed in 00:05:13; cost about 44.5 core-hours / 4.5 CNY; parsed and ran normally with topology 32x4x4; loaded 47M e 94M D 11.75M C; wrote dist_fn SDF; validates smoke path for 1500 fs benchmark
pic3d_stage1_benchmark1500fs_2000x250x250_a0_10_t_3um_20260704_r001,1559752,COMPLETED,amd_m9_768,2,512,4,10,3,1500,completed in 02:47:33; cost about 1430 core-hours / 143 CNY; output 6 SDF files / 4.7M; D_rear05 cumulative 24213 macros and D_rear10 cumulative 159 macros by 1500 fs; D_rear15/20 absent; final window fractions show 1500 fs is not a converged source collection time
pic3d_stage1_source_diag3000fs_finalrestart_2000x250x250_a0_10_t_3um_20260704_r001,1631093,RUNNING,amd_m9_768,2,512,8,10,3,3000,submitted 3 ps source-plane diagnostic with rear+2/5/10/15/20 probes and final restart only; target source candidate is rear+10; full-walltime cost cap about 409.6 CNY; expected cost about 290-330 CNY if runtime follows the 1.5 ps benchmark; active job TimeLimit extension to 10h was denied by Slurm permissions; future template adds stop_at_walltime=27000s guard
