source_id,a0,thickness_um,li6_atpct,D_macro_Egt0p4,D_weight_Egt0p4_per_shot,D_E_weighted_mean_MeV,D_E_max_MeV,D_weight_frac_mu_gt_0p8,DD_neutron_Y_per_shot,n_E_weighted_mean_MeV,n_E_max_MeV,n_weight_frac_E_gt_3p1454,n_weight_frac_E_gt_3p1454_mu_gt_0p8,CaseA_TPR_Li6_per_n,CaseA_TPR_Li7_per_n,CaseB_TPR_Li6_per_n,CaseB_TPR_Li6_rel_err,CaseB_TPR_Li7_per_n,CaseB_TPR_Li7_rel_err,CaseB_TPR_Li_total_split_per_n,CaseB_TPR_Li_total_split_rel_err,CaseB_T_Li6_per_shot,CaseB_T_Li7_per_shot,CaseB_T_Li_total_split_per_shot,CaseB_Li7_fraction_of_Li_total,DD_neutron_Y_per_shot_rel_to_a10_t3,CaseB_T_Li6_per_shot_rel_to_a10_t3,CaseB_T_Li7_per_shot_rel_to_a10_t3,CaseB_T_Li_total_split_per_shot_rel_to_a10_t3,CaseB_TPR_Li7_per_n_rel_to_a10_t3,n_weight_frac_E_gt_3p1454_rel_to_a10_t3
pic2d_a0_10_t_1um,10.0,1.0,7.59,15325.0,2.43974e+16,0.5779052373707667,6.01519282,0.9976508972267536,395518193719.504,3.0758510188695816,7.406356289569104,0.347722657758171,,0.0111953386126951,0.0,0.0102230877015473,0.00115802657429,0.0086925321661484,0.0030578301918953,0.0189156198676957,0.001538278764289053,4043417181.952064,3438054621.203703,7481471803.155767,0.4595425488008246,0.049071640102125204,0.04761972466551433,0.8533780442629355,0.08411883983715819,17.39045286619587,1.3590846250523592
pic2d_a0_10_t_2um,10.0,2.0,7.59,90244.0,1.43668448e+17,0.544332248457759,4.15142182,0.9658259828908292,1367008411335.6963,2.682053468865432,5.412377274338792,0.1786053001962969,,0.0111953386126951,0.0,0.0106744418331966,0.0008977249751534,0.0002778448626878,0.0085615189823942,0.0109522866958844,0.0009015056421602994,14592051772.293383,379816264.34063417,14971868036.634016,0.025368662307955037,0.16960368914208881,0.17185203911263866,0.09427623948824405,0.16833802259409025,0.5558619624674691,0.6980842692697501
pic2d_a0_05_t_3um,5.0,3.0,7.59,274144.0,4.36437248e+17,0.6813975736735073,2.00066203,0.9204833955877204,7507302090076.475,2.7492802466596102,4.870280337762912,0.2494002839741477,,0.0111953386126951,0.0,0.0105478048209543,0.0009329336493795,0.0004466735617499,0.0048728655754747,0.0109944783827042,0.0009166641864792362,79185557178.06894,3353313363.7069273,82538870541.77586,0.040627080812908584,0.9314252344189914,0.9325761504739257,0.8323439605852126,0.9280358483092742,0.893624018147217,0.9747886249871257
pic2d_a0_10_t_3um,10.0,3.0,7.59,286401.0,4.55950392e+17,0.6877147124408226,2.15669103,0.9216587930908062,8060015782973.083,2.756170071540481,5.009585856618661,0.2558506301583501,,0.0111953386126951,0.0,0.0105347875055248,0.000888876909904,0.0004998450720651,0.0048006205359433,0.011034632577589899,0.0008760316183350222,84910553564.79752,4028759169.8860245,88939312734.68353,0.04529784463147684,1.0,1.0,1.0,1.0,1.0,1.0
pic2d_a0_15_t_3um,15.0,3.0,7.59,307731.0,4.89907752e+17,0.7402168736711836,7.39191482,0.9254153790160888,10827489548304.078,2.8221895160309622,8.766223956245945,0.293669555582299,,0.0111953386126951,0.0,0.0104489279760168,0.0008952153928552,0.0015144150307385,0.0065707987769043,0.0119633430067553,0.00114158638191078,113135658451.304,16397312917.115707,129532971368.41971,0.12658794702144377,1.343358355597433,1.3324098560371198,4.07006530439485,1.4564197471913445,3.029768853140282,1.1478164247652711
pic2d_a0_20_t_3um,20.0,3.0,7.59,327699.0,5.21696808e+17,0.845009587456965,19.1387348,0.9329354071876936,18174938224692.023,3.127103700321202,12.09965200271694,0.3856626485438041,,0.0111953386126951,0.0,0.0101224488492187,0.0010523874473608,0.0087833866004872,0.0034244082701958,0.0189058354497059,0.0016877664724786008,183974882517.15472,159637508867.44254,343612391384.5973,0.46458600699520186,2.254950699114868,2.166690414716924,39.624485390115474,3.863447791750242,17.57221805588442,1.507374237480327
pic2d_a0_10_t_4um,10.0,4.0,7.59,468820.0,7.4636144e+17,0.8824354542906296,2.7593808,0.896056055629026,24527587359530.72,2.8568872106801524,5.408414550616031,0.3292617401832163,,0.0111953386126951,0.0,0.010392560985388,0.0010303315529646,0.001447143453941,0.0034444180153183,0.011839704439329,0.0009975856413114025,254904447458.35483,35494937488.3109,290399384946.6657,0.12222800504494814,3.0431190235812755,3.0020349268342765,8.810389499979733,3.2651408698531474,2.895183997637819,1.2869295650334374
pic2d_a0_10_t_1um,10.0,1.0,90.0,15325.0,2.43974e+16,0.5779052373707667,6.01519282,0.9976508972267536,395518193719.504,3.0758510188695816,7.406356289569104,0.347722657758171,,0.1283228401927383,0.0,0.1254774342063634,0.0009534417563864,0.00100350809313,0.0031243395777031,0.1264809422994934,0.0009462018516209541,49628608129.85876,396905708.37768143,50025513838.236435,0.007934065598229019,0.049071640102125204,0.04784163617620881,0.8396233315972856,0.048202284876183936,17.110154253045295,1.3590846250523592
pic2d_a0_10_t_2um,10.0,2.0,90.0,90244.0,1.43668448e+17,0.544332248457759,4.15142182,0.9658259828908292,1367008411335.6963,2.682053468865432,5.412377274338792,0.1786053001962969,,0.1283228401927383,0.0,0.1295079770740685,0.0007454633243696,3.2296563352624936e-05,0.0082849630077114,0.12954027363742113,0.0007452803302901296,177038493995.32214,44149673.760274485,177082643669.08243,0.0002493167757466835,0.16960368914208881,0.1706638879886764,0.09339522055011938,0.17062869287792598,0.5506673883247653,0.6980842692697501
pic2d_a0_05_t_3um,5.0,3.0,90.0,274144.0,4.36437248e+17,0.6813975736735073,2.00066203,0.9204833955877204,7507302090076.475,2.7492802466596102,4.870280337762912,0.2494002839741477,,0.1283228401927383,0.0,0.1287643701605118,0.0008827896827007,5.235843733693506e-05,0.0048525570056967,0.12881672859784873,0.0008824330710572098,966673025233.391,393070606.0527107,967066095839.4437,0.0004064568158720455,0.9314252344189914,0.9318661336130974,0.8315104692142525,0.9318204226044825,0.892729162242352,0.9747886249871257
pic2d_a0_10_t_3um,10.0,3.0,90.0,286401.0,4.55950392e+17,0.6877147124408226,2.15669103,0.9216587930908062,8060015782973.083,2.756170071540481,5.009585856618661,0.2558506301583501,,0.1283228401927383,0.0,0.1287034471319935,0.000904608325324,5.864985658743514e-05,0.0047751214881686,0.12876209698858093,0.0009041989011879297,1037351815206.9094,472718769.7638351,1037824533976.6732,0.00045549007013015956,1.0,1.0,1.0,1.0,1.0,1.0
pic2d_a0_15_t_3um,15.0,3.0,90.0,307731.0,4.89907752e+17,0.7402168736711836,7.39191482,0.9254153790160888,10827489548304.078,2.8221895160309622,8.766223956245945,0.293669555582299,,0.1283228401927383,0.0,0.1280012774181682,0.0008871080210916,0.0001763953774622,0.0064415286245308,0.1281776727956304,0.0008859315534583702,1385932493414.7869,1909919105.8411233,1387842412520.628,0.0013761786558837677,1.343358355597433,1.336029371229615,4.040286165906417,1.3372611333466722,3.0076011728899967,1.1478164247652711
pic2d_a0_20_t_3um,20.0,3.0,90.0,327699.0,5.21696808e+17,0.845009587456965,19.1387348,0.9329354071876936,18174938224692.023,3.127103700321202,12.09965200271694,0.3856626485438041,,0.1283228401927383,0.0,0.1248191071485342,0.0009548673349758,0.0010063922608455,0.0034549297302809,0.1258254994093797,0.0009476329964547331,2268579561685.8237,18291117170.675102,2286870678856.499,0.00799831723751917,2.254950699114868,2.1868950614727893,38.69344384148981,2.2035234319368096,17.159330293419757,1.507374237480327
pic2d_a0_10_t_4um,10.0,4.0,90.0,468820.0,7.4636144e+17,0.8824354542906296,2.7593808,0.896056055629026,24527587359530.72,2.8568872106801524,5.408414550616031,0.3292617401832163,,0.1283228401927383,0.0,0.1277542249165662,0.0009280112112201,0.0001707303467624,0.0033367060875143,0.12792495526332862,0.000926783374062696,3133502912190.214,4187603495.1377387,3137690515685.3516,0.0013346133005163702,3.0431190235812755,3.0206752099481387,8.858551348045303,3.023334304559692,2.911010472939101,1.2869295650334374
