run_id,a0,thickness_um,gate,probe,weight_total,ddn_yield_total,E_max_MeV
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear02,3.42649344e+17,3229145504355.0,1.47335637
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear05,4.72795344e+17,5751046871077.0,1.56465648
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear10,4.36437248e+17,7507308641969.0,2.00066203
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear15,3.61436536e+17,7427701420490.0,2.16919938
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear20,2.89336448e+17,6680531867041.0,2.25098533
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear02,1.0389392e+16,283084176296.714,4.53965333
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear05,1.7072608e+16,342397144577.944,5.27939802
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear10,2.43974e+16,395518470932.26996,6.01519282
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear15,2.6285512e+16,407628864115.0,6.3328178
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear20,2.474764e+16,389870993685.0,6.51045773
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear02,4.6015168e+16,315311720429.30005,2.76204865
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear05,1.14565096e+17,884450412735.8,3.50450241
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear10,1.43668448e+17,1367010367807.0,4.15142182
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear15,1.36713e+17,1455145606308.0,4.33359226
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear20,1.17725216e+17,1363579646259.0,4.35204115
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear02,3.768662e+17,3541168125707.9,1.49577629
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear05,4.97180008e+17,6227503698573.0,1.66114197
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear10,4.55950392e+17,8060022589896.0,2.15669103
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear15,3.81282408e+17,8009048649130.2,2.22539404
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear20,3.12301048e+17,7267728964954.0,2.31125684
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear02,8.00844456e+17,12751923542751.3,2.32367028
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear05,8.89598456e+17,19646884690131.0,2.50176637
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear10,7.4636144e+17,24527598032770.0,2.7593808
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear15,5.98853088e+17,24166922861920.0,3.15602886
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear20,4.80828576e+17,21830259969240.0,3.41437885
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear02,4.69113048e+17,5163313537760.9,5.3379727
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear05,5.48795832e+17,8608524607856.0,6.38638946
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear10,4.89907752e+17,10827494150161.0,7.39191482
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear15,4.11226336e+17,10752628962138.0,7.68005661
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear20,3.41811952e+17,9925823709630.0,7.71255859
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear02,5.5868056e+17,10238761464363.701,14.3159321
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear05,5.95401632e+17,15198946971394.0,17.2645812
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear10,5.21696808e+17,18174848876445.0,19.1387348
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear15,4.39379264e+17,18116563028980.0,19.8471317
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear20,3.70372432e+17,17124731534960.0,20.0435806
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear02,9.88534888e+17,4143423627378.5,1.47335637
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear05,8.83093544e+17,6406755045578.0,1.56465648
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear10,6.826098e+17,7910089274399.0,2.00066203
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear15,5.09481392e+17,7689872378900.0,2.16919938
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear20,3.61782e+17,6826109909061.0,2.25098533
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear02,2.40162752e+17,410513677702.39996,4.53965333
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear05,2.41215064e+17,515390065536.50006,5.27939802
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear10,2.00399368e+17,566311036081.0,6.01519282
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear15,1.44940456e+17,547776660635.0,6.3328178
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear20,9.2714896e+16,487594636207.0,6.51045773
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear02,6.34641248e+17,933552402898.0,2.76204865
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear05,5.87046816e+17,1462374995628.0,3.50450241
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear10,4.62633608e+17,1792499340903.0,4.15142182
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear15,3.3648512e+17,1754712446391.0,4.33359226
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear20,2.227606e+17,1546878706669.0,4.35204115
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear02,1.012566128e+18,4476582177449.0,1.49577629
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear05,9.07986056e+17,6882509872208.0,1.66114197
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear10,7.13910112e+17,8479945593219.0,2.15669103
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear15,5.46934784e+17,8295191085060.2,2.22539404
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear20,4.02166264e+17,7442016249094.0,2.31125684
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear02,1.328084608e+18,13611701710475.3,2.32367028
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear05,1.16776384e+18,20122839935342.0,2.50176637
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear10,9.13862128e+17,24819954317610.0,2.7593808
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear15,7.05883248e+17,24365188342960.0,3.15602886
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear20,5.37890632e+17,21948315473100.0,3.41437885
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear02,1.035919176e+18,6034675120012.0,5.3379727
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear05,9.27532632e+17,9212060262116.0,6.38638946
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear10,7.394442e+17,11230945140519.0,7.39191482
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear15,5.7815072e+17,11037026499258.0,7.68005661
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear20,4.38678784e+17,10110466225450.0,7.71255859
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear02,1.053130288e+18,11001095620139.0,14.3159321
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear05,9.4487588e+17,15749559903231.0,17.2645812
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear10,7.61582552e+17,18557593422096.0,19.1387348
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear15,6.04238824e+17,18393787156950.0,19.8471317
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear20,4.70330928e+17,17311050918960.0,20.0435806
