sdf,time_fs,probe,n_macro,weight_sum,E_weighted_mean_MeV,E_max_MeV,ddn_yield_sum,ddn_yield_per_weight
0000.sdf,250.037344,D_rear02,0,0,nan,nan,0,0
0000.sdf,250.037344,D_rear05,0,0,nan,nan,0,0
0000.sdf,250.037344,D_rear10,0,0,nan,nan,0,0
0000.sdf,250.037344,D_rear15,0,0,nan,nan,0,0
0000.sdf,250.037344,D_rear20,0,0,nan,nan,0,0
0001.sdf,500.0259,D_rear02,217,5.527424000e+07,0.503496622,0.874160255,4.212119790e+02,7.620402904e-06
0001.sdf,500.0259,D_rear05,0,0,nan,nan,0,0
0001.sdf,500.0259,D_rear10,0,0,nan,nan,0,0
0001.sdf,500.0259,D_rear15,0,0,nan,nan,0,0
0001.sdf,500.0259,D_rear20,0,0,nan,nan,0,0
0002.sdf,750.014456,D_rear02,5780,1.472281600e+09,0.3227123,1.00189187,6.338725375e+03,4.305375666e-06
0002.sdf,750.014456,D_rear05,1,2.547200000e+05,1.09469638,1.09469638,1.143290059e+01,4.488418887e-05
0002.sdf,750.014456,D_rear10,0,0,nan,nan,0,0
0002.sdf,750.014456,D_rear15,0,0,nan,nan,0,0
0002.sdf,750.014456,D_rear20,0,0,nan,nan,0,0
0003.sdf,1000.00301,D_rear02,34944,8.900935680e+09,0.316249299,0.876327357,3.130012200e+04,3.516497942e-06
0003.sdf,1000.00301,D_rear05,511,1.301619200e+08,0.729791301,1.08563938,2.446031861e+03,1.879222326e-05
0003.sdf,1000.00301,D_rear10,0,0,nan,nan,0,0
0003.sdf,1000.00301,D_rear15,0,0,nan,nan,0,0
0003.sdf,1000.00301,D_rear20,0,0,nan,nan,0,0
0004.sdf,1250.04036,D_rear02,111260,2.834014720e+10,0.169773537,0.920803969,1.681373197e+04,5.932831558e-07
0004.sdf,1250.04036,D_rear05,6092,1.551754240e+09,0.576022861,0.962531049,1.700999772e+04,1.096178588e-05
0004.sdf,1250.04036,D_rear10,3,7.641600000e+05,1.26820944,1.30732421,4.754274583e+01,6.221569545e-05
0004.sdf,1250.04036,D_rear15,0,0,nan,nan,0,0
0004.sdf,1250.04036,D_rear20,0,0,nan,nan,0,0
0005.sdf,1500.02891,D_rear02,242962,6.188728064e+10,0.140438321,0.593523801,1.564131748e+04,2.527388070e-07
0005.sdf,1500.02891,D_rear05,17609,4.485364480e+09,0.418058616,0.75363531,2.226590357e+04,4.964123578e-06
0005.sdf,1500.02891,D_rear10,156,3.973632000e+07,0.947773133,1.190765,1.312263083e+03,3.302427309e-05
0005.sdf,1500.02891,D_rear15,0,0,nan,nan,0,0
0005.sdf,1500.02891,D_rear20,0,0,nan,nan,0,0
0006.sdf,1632.92681,D_rear02,195455,4.978629760e+10,0.136519104,0.40677623,1.085225531e+04,2.179767493e-07
0006.sdf,1632.92681,D_rear05,14123,3.597410560e+09,0.32334238,0.595744224,9.406693412e+03,2.614851226e-06
0006.sdf,1632.92681,D_rear10,355,9.042560000e+07,0.830025009,1.09873528,2.209690516e+03,2.443655907e-05
0006.sdf,1632.92681,D_rear15,0,0,nan,nan,0,0
0006.sdf,1632.92681,D_rear20,0,0,nan,nan,0,0
0007.sdf,1750.01747,D_rear02,218651,5.569478272e+10,0.137945263,0.374586246,1.256059626e+04,2.255255455e-07
0007.sdf,1750.01747,D_rear05,20480,5.216665600e+09,0.274873143,0.571172812,8.938908123e+03,1.713529064e-06
0007.sdf,1750.01747,D_rear10,1011,2.575219200e+08,0.729843543,0.928394202,4.635477455e+03,1.800032189e-05
0007.sdf,1750.01747,D_rear15,8,2.037760000e+06,1.26296575,1.35447434,1.257516586e+02,6.171073071e-05
0007.sdf,1750.01747,D_rear20,0,0,nan,nan,0,0
0008.sdf,2000.00603,D_rear02,663203,1.689310682e+11,0.142461041,0.412537916,4.285714807e+04,2.536960699e-07
0008.sdf,2000.00603,D_rear05,102438,2.609300736e+10,0.230299278,0.569549023,2.775956236e+04,1.063869794e-06
0008.sdf,2000.00603,D_rear10,5645,1.437894400e+09,0.577672289,0.831407324,1.490415765e+04,1.036526580e-05
0008.sdf,2000.00603,D_rear15,81,2.063232000e+07,1.03192328,1.21542306,8.199042583e+02,3.973883006e-05
0008.sdf,2000.00603,D_rear20,0,0,nan,nan,0,0
0009.sdf,2250.04337,D_rear02,998563,2.543539674e+11,0.14979735,0.47633615,7.704012672e+04,3.028854927e-07
0009.sdf,2250.04337,D_rear05,269463,6.863761536e+10,0.210024186,0.616253599,5.725832488e+04,8.342120364e-07
0009.sdf,2250.04337,D_rear10,10685,2.721683200e+09,0.465069157,0.777256956,1.657915234e+04,6.091507029e-06
0009.sdf,2250.04337,D_rear15,514,1.309260800e+08,0.872844629,1.142688,3.562910112e+03,2.721314281e-05
0009.sdf,2250.04337,D_rear20,16,4.075520000e+06,1.24560479,1.3687635,2.440505373e+02,5.988206101e-05
0010.sdf,2500.03193,D_rear02,1378895,3.512321344e+11,0.15722396,0.490956059,1.256796506e+05,3.578250343e-07
0010.sdf,2500.03193,D_rear05,580777,1.479355174e+11,0.204323061,0.543582645,1.157481899e+05,7.824232605e-07
0010.sdf,2500.03193,D_rear10,15500,3.948160000e+09,0.394794625,0.704385121,1.604937483e+04,4.065026450e-06
0010.sdf,2500.03193,D_rear15,2206,5.619123200e+08,0.68883326,0.901881264,8.801261527e+03,1.566305136e-05
0010.sdf,2500.03193,D_rear20,67,1.706624000e+07,1.0641271,1.24129882,7.241063153e+02,4.242916514e-05
0011.sdf,2750.02048,D_rear02,1772213,4.514180954e+11,0.163992788,0.527646131,1.859495633e+05,4.119231488e-07
0011.sdf,2750.02048,D_rear05,909489,2.316650381e+11,0.205142191,0.669760164,1.874233523e+05,8.090273519e-07
0011.sdf,2750.02048,D_rear10,30569,7.786535680e+09,0.354456528,0.697631112,2.427467173e+04,3.117518846e-06
0011.sdf,2750.02048,D_rear15,4978,1.267996160e+09,0.560772676,0.806472447,1.214436215e+04,9.577601678e-06
0011.sdf,2750.02048,D_rear20,295,7.514240000e+07,0.941998157,1.12304648,2.424883058e+03,3.227050318e-05
0012.sdf,3000.00904,D_rear02,2084930,5.310733696e+11,0.169999388,0.549797598,2.466762893e+05,4.644862714e-07
0012.sdf,3000.00904,D_rear05,1250241,3.184613875e+11,0.208325082,0.64070894,2.742365288e+05,8.611296050e-07
0012.sdf,3000.00904,D_rear10,76439,1.947054208e+10,0.335048214,0.796747487,5.453503932e+04,2.800899898e-06
0012.sdf,3000.00904,D_rear15,8084,2.059156480e+09,0.479196829,0.754698228,1.344942756e+04,6.531522828e-06
0012.sdf,3000.00904,D_rear20,1063,2.707673600e+08,0.774504504,0.974946962,5.568572529e+03,2.056589291e-05
